,publication_journal-article,publication_review-article,publication_editorial-letter,publication_book-review,publication_magazine-article,publication_book,publication_textbook,publication_textcritical-edition,publication_book-chapter,publication_doctoral-thesis,publication_report,conference_paper,conference_other,publication_edited-book,publication_report-chapter,publication_newspaper-article,publication_encyclopedia-entry,publication_licentiate-thesis,publication_journal-issue,conference_poster,conference_proceeding,intellectual-property_patent,publication_working-paper,artistic-work_original-creative-work,other
title,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
alt_title,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O
abstract,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O
pubyear,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
publanguage,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
category_hsv_local,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
url,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,n/a,O,O,O
extid,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,n/a,O,O,O
links,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,n/a,O,O,O
keywords,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O
project,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O
pub_notes,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O
author,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
sourcetitle,R,R,R,R,R,n/a,n/a,n/a,R,n/a,n/a,R,R,n/a,R,R,R,n/a,R,R,n/a,n/a,n/a,R,O
sourcevolume,O,O,O,O,O,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,O,n/a,n/a,O,n/a,n/a,n/a,n/a,n/a,O
sourceissue,O,O,O,O,O,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,O,n/a,n/a,O,n/a,n/a,n/a,n/a,n/a,O
sourcepages,O,O,O,O,O,n/a,n/a,n/a,O,n/a,n/a,n/a,n/a,n/a,n/a,O,n/a,n/a,O,n/a,n/a,n/a,n/a,n/a,O
issn,O,O,O,O,O,O,O,O,O,n/a,n/a,O,O,n/a,n/a,O,n/a,n/a,O,O,O,n/a,n/a,n/a,O
eissn,O,O,O,O,O,O,O,O,O,n/a,n/a,O,O,n/a,n/a,O,n/a,n/a,O,O,O,n/a,n/a,n/a,O
article_number,O,O,O,O,O,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,O,n/a,n/a,O,n/a,n/a,n/a,n/a,n/a,O
extent,n/a,n/a,n/a,n/a,n/a,O,O,O,O,O,O,O,O,O,O,n/a,O,O,n/a,O,n/a,n/a,O,O,O
publisher,n/a,n/a,n/a,n/a,n/a,O,O,O,O,O,O,O,O,O,O,n/a,O,O,n/a,n/a,O,n/a,O,O,O
place,n/a,n/a,n/a,n/a,n/a,O,O,O,O,O,O,O,O,O,O,n/a,O,O,n/a,n/a,O,n/a,O,O,O
series,n/a,n/a,n/a,n/a,n/a,O,O,O,O,O,O,O,O,O,O,n/a,O,O,n/a,n/a,O,n/a,O,O,O
isbn,n/a,n/a,n/a,n/a,n/a,O,O,O,O,O,O,O,O,O,O,n/a,O,O,n/a,n/a,O,n/a,O,O,O
artwork_type,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,O,n/a
dissdate,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,O,n/a,n/a,n/a,n/a,n/a,n/a,n/a,O,n/a,n/a,n/a,n/a,n/a,n/a,n/a
dissopponent,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,O,n/a,n/a,n/a,n/a,n/a,n/a,n/a,O,n/a,n/a,n/a,n/a,n/a,n/a,n/a
patent_applicant,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,O,n/a,n/a,n/a
patent_application_number,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,O,n/a,n/a,n/a
patent_application_date,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,O,n/a,n/a,n/a
patent_number,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,R,n/a,n/a,n/a
patent_date,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,R,n/a,n/a,n/a
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,, ,,,,,,,,
